Timestamp,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
12:02.3,2.347213745,-2.472391605,-7.5921278,2.654628158,3.936880589,-0.71434851
12:02.3,3.673144579,-1.486587524,-7.368845463,2.420819908,2.67656523,-0.436240822
12:02.3,4.937657356,-2.412988424,-7.466802597,1.842773486,2.043111801,0.014642358
12:02.3,3.689257145,-3.237928867,-7.470965862,1.71783714,1.502035916,-0.216481566
12:02.3,2.466599464,-3.543359756,-7.429074287,1.749532104,1.164650023,-0.043767154
12:02.3,1.954728723,-3.435109377,-7.381082058,1.973258555,1.629281998,0.135218263
12:02.3,2.452568531,-2.873892069,-7.354645252,1.892129362,1.517543882,0.086481184
12:02.3,3.157368422,-2.736199856,-6.850405216,1.715586424,1.29974243,0.192589968
12:02.3,4.005448341,-2.993674994,-6.272190571,1.556391835,1.283433318,0.248482019
12:02.3,2.577681065,-3.747653484,-5.280955315,1.231227219,0.969104469,0.111090362
12:02.4,-0.019062873,-3.570400476,-4.15740633,0.897639513,0.415532708,0.467930853
12:02.4,-1.83219564,-3.170214176,-2.727572918,0.730738282,-0.755120695,0.802860476
12:02.4,-0.349226028,-1.162058234,-1.00883925,0.862146616,-2.294350505,0.731235249
12:02.4,2.623132467,0.904262125,1.319397211,0.381418288,-4.003640175,1.000018744
12:02.4,1.736517906,1.978927493,3.12196064,0.402247012,-3.678460717,1.224429823
12:02.4,0.500464499,3.024203062,4.244708538,0.479487658,-2.59502697,0.963733889
12:02.4,0.827024817,4.625583649,4.836687565,0.81161052,-1.613079637,0.619024009
12:02.4,-0.572074354,5.481613636,5.811003208,1.746653795,0.291108765,0.434196115
12:02.4,-2.807998419,6.16062355,5.770593166,2.226557493,1.973540734,0.204293638
12:02.4,-3.456227541,6.880305767,5.826215267,2.127770782,2.091000646,0.021418631
12:02.4,-3.198448181,7.49251461,5.96044302,1.767416656,1.936152399,-0.221332014
12:02.4,-2.895647287,6.808541298,6.010501862,1.744586855,1.70908457,-0.232012689
12:02.5,-3.069144964,5.900942802,6.079018593,1.621430188,1.51740247,-0.052188158
12:02.5,-3.273589849,6.232384205,5.96392107,1.537290141,1.330130517,0.513744116
12:02.5,-2.992473364,5.53651762,4.884484768,1.737986207,1.120672822,0.636087477
12:02.5,-2.310648441,4.735680103,4.038664818,1.850746512,1.264487207,0.289848596
12:02.5,-2.446125269,3.757895947,2.867395878,1.787130892,1.83284694,-0.654962212
12:02.5,-4.359763622,2.699630499,1.799656749,1.484380722,1.710014284,-0.989344671
12:02.5,-5.961403847,0.650891006,1.737251878,1.870671332,2.600776732,-1.684903723
12:02.5,-5.356844902,-0.866349936,1.145697117,2.571568489,4.007713854,-2.726225287
12:02.5,-2.231594324,-2.92847991,-2.242219925,2.757328987,5.49477464,-3.593596488
12:02.5,-0.918264508,-3.390067101,-3.740457296,2.476491332,4.322806895,-1.70857057
12:02.5,0.293034881,-3.859065294,-5.380201817,2.870916963,4.024816692,-0.843808449
12:02.5,1.218683958,-3.616360664,-6.08784008,1.963340819,2.980289638,-0.371914491
12:02.6,1.373395324,-2.859929085,-6.96876049,1.549464107,2.242114186,0.007221758
12:02.6,3.544298887,-2.2788589,-7.513928413,1.367918015,1.714434147,0.176809132
12:02.6,4.9780159,-2.618938684,-7.648079872,1.669740088,1.410891354,0.341575056
12:02.6,4.035408974,-3.10106945,-7.928348541,1.815693468,1.155339003,0.701974034
12:02.6,3.219455242,-3.031871796,-7.944844723,2.273979247,1.536093593,0.518380582
12:02.6,3.91378665,-2.466111898,-7.760672092,2.273844302,1.607003987,0.552758634
12:02.6,4.37967062,-2.866801977,-7.14863205,1.938442051,1.470044553,0.395241976
12:02.6,4.078314304,-3.814089775,-6.684912682,1.557339668,1.337754183,0.394096464
12:02.6,2.33203578,-4.277429104,-6.205236435,1.316708744,0.967288941,0.349142313
12:02.6,1.79443872,-4.028296471,-5.591282368,1.197216928,0.380682498,0.464862958
12:02.6,3.874901295,-4.095509529,-4.602013588,0.718532562,-1.089057326,0.910646372
12:02.6,4.097902775,-2.836118698,-2.013091326,1.06074059,-2.805837631,1.24835135
12:02.7,1.347651839,1.297109365,2.062842846,1.034815729,-4.237295449,2.66854693
12:02.7,-0.972640812,4.776183128,4.573680878,0.954998016,-3.386054516,2.261641987
12:02.7,-0.593355894,5.350381851,5.444804192,1.312985599,-2.240640163,1.474473745
12:02.7,-0.399647743,6.185081959,5.769693851,1.732328296,-0.490794986,0.428531677
12:02.7,-2.380368948,7.489798069,6.281626701,2.009626269,0.942948826,-0.295464844
12:02.7,-5.689682484,7.68096447,6.257448196,2.313366234,1.998029783,-0.617819071
12:02.7,-4.730172157,6.588444233,6.137275696,2.459878743,2.202783853,-0.213734448
12:02.7,-2.947856903,6.307326794,5.997495174,2.259603918,1.967108905,-0.256809413
12:02.7,-2.86975503,6.433372974,5.970682144,2.076570898,1.832478821,-0.372226894
